flac_file,vad_model,detection_accuracy,detection_error_rate,missed_detection_rate,false_alarm_rate,roc_auc
DH_EVAL_0051.flac,silero,0.9001660779068738,0.18233974179673185,13.058098843244398,5.1758753364287875,0.9043277244076103
DH_EVAL_0052.flac,silero,0.9214401897941595,0.09149304442592571,4.1707801782165985,4.978524264375973,0.829138680385699
DH_EVAL_0053.flac,silero,0.8106645081324463,0.2919380631069854,21.10846756893794,8.085338741760603,0.8297317658783835
DH_EVAL_0054.flac,silero,0.9287323605441207,0.11105241436236211,1.7350392075939247,9.370202228642286,0.9091970783185688
DH_EVAL_0055.flac,silero,0.8682411845117518,0.23573785950023454,12.370344177274797,11.203441772748658,0.8670300705197438
DH_EVAL_0056.flac,silero,0.652282350494425,0.438273994204324,40.600661485372655,3.2267379350597474,0.7339044630658867
DH_EVAL_0057.flac,silero,0.49899176503741804,0.7431712516778675,73.08537270730082,1.231752460485924,0.6229465795431681
DH_EVAL_0058.flac,silero,0.9015925993107202,0.13770661576574744,1.3224424318726027,12.448219144702142,0.8379457076780916
DH_EVAL_0059.flac,silero,0.7907848220598639,0.30646728381970684,25.12786115536172,5.518867226608961,0.8139176579283048
DH_EVAL_0060.flac,silero,0.8831868315723087,0.19005391823273896,8.33272260901438,10.672669214259514,0.8711523297459914
DH_EVAL_0061.flac,silero,0.9066511627906978,0.10166658224000796,9.492933488678375,0.6737247353224208,0.9172565304969524
DH_EVAL_0062.flac,silero,0.9463856627953539,0.05792215752375179,1.8063492635791791,3.9858664887960007,0.7469060259449549
DH_EVAL_0063.flac,silero,0.8011528150134052,0.2588740358102679,1.0784963875606348,24.80890719346616,0.5957106742398433
DH_EVAL_0064.flac,silero,0.8920134228187924,0.14879135918918357,7.373911113577111,7.505224805341245,0.8629068978266705
DH_EVAL_0065.flac,silero,0.9207240635812071,0.09721055112623134,4.830808960668978,4.890246151954155,0.8688416472316591
DH_EVAL_0066.flac,silero,0.9050601222156508,0.09749220171693869,9.673919424151768,0.07530074754210216,0.9390568352487216
DH_EVAL_0067.flac,silero,0.6884234234234233,0.5294432821350206,46.237944583354604,6.7063836301474495,0.719685727758688
DH_EVAL_0068.flac,silero,0.94292005137529,0.06256170243884589,2.1847233902518957,4.071446853632693,0.7791336808852216
DH_EVAL_0069.flac,silero,0.9027449793781197,0.14259811155155735,7.38693903532884,6.872872119826893,0.8884121718001534
DH_EVAL_0070.flac,silero,0.908329587052855,0.13023009689250534,1.2225608087148845,11.800448880535649,0.857506556164169
DH_EVAL_0071.flac,silero,0.9280754070049215,0.08401839619683966,0.6037404616751463,7.798099158008822,0.7640818977968885
DH_EVAL_0072.flac,silero,0.9234956428364931,0.10612213096722117,0.8930208256947464,9.719192271027373,0.8691984593123747
DH_EVAL_0073.flac,silero,0.8864012077492687,0.19087710840607755,18.62399063377017,0.46372020683758347,0.9036294308475235
DH_EVAL_0074.flac,silero,0.8965016100382808,0.16932576354067272,11.353652977497722,5.578923376569551,0.898821275970504
DH_EVAL_0075.flac,silero,0.8891583747927043,0.16994565044655446,2.113593745033804,14.880971299621642,0.8494859978115613
DH_EVAL_0076.flac,silero,0.9039253271105926,0.10981557689376602,7.832266422801464,3.149291266575139,0.8501491623721662
DH_EVAL_0077.flac,silero,0.9301300743750197,0.0982515146628588,0.9030385403948838,8.922112925890996,0.8862749274868218
DH_EVAL_0078.flac,silero,0.791470078212113,0.23098629932265835,22.891163788366967,0.20746614389887041,0.8762754891695954
DH_EVAL_0079.flac,silero,0.9294333946180832,0.08024785220102042,2.9974150383943257,5.027370181707716,0.8027348457991578
DH_EVAL_0080.flac,silero,0.9508999999999992,0.052627818071386015,1.0754224874058307,4.187359319732771,0.7031673758816595
DH_EVAL_0081.flac,silero,0.9229029062087193,0.09215798511734338,0.2092256676469711,9.00657284408737,0.7702771158902549
DH_EVAL_0082.flac,silero,0.87931290389827,0.1503089593004535,0.6773218680873387,14.353574061958007,0.7042871660624158
DH_EVAL_0083.flac,silero,0.8989953580901854,0.16374875695433658,10.158841078291728,6.216034617141929,0.8977782836260053
DH_EVAL_0084.flac,silero,0.8855690989952247,0.15823928022321937,1.3092648482432907,14.514663174078645,0.8035637573981098
DH_EVAL_0085.flac,silero,0.5705996387698323,0.6725596253675523,65.11416851199756,2.1417940247576794,0.6557961358083593
DH_EVAL_0086.flac,silero,0.6641682974559691,0.727705768442477,3.342897932067738,69.42767891217996,0.6871066345539341
DH_EVAL_0087.flac,silero,0.9287499999999996,0.07950086474624869,2.6388708087702435,5.311215665854626,0.7571478640302829
DH_EVAL_0088.flac,silero,0.9113797248564179,0.097958882368139,6.066142546045114,3.729745690768786,0.7962734658411206
DH_EVAL_0089.flac,silero,0.9424520433694751,0.06332599118942667,1.569383259911873,4.763215859030793,0.7572339207904984
DH_EVAL_0090.flac,silero,0.7752098831073886,0.24780954525391016,23.674424173542242,1.1065303518487726,0.827272253219403
DH_EVAL_0091.flac,silero,0.950100100100099,0.05477520373592263,1.525501327717282,3.952019045874981,0.793004798609995
DH_EVAL_0092.flac,silero,0.8817833999610476,0.16733642981972324,5.950066820556425,10.7835761614159,0.8386166483503007
DH_EVAL_0093.flac,silero,0.9467790387182907,0.058279573822621625,2.4653228311921027,3.36263455107006,0.8142356099618262
DH_EVAL_0094.flac,silero,0.893458528951486,0.14066503209454875,5.998787845395167,8.067715364059708,0.8426682789295458
DH_EVAL_0095.flac,silero,0.7325431693925977,0.4741614894117887,46.84093630697112,0.5752126342077478,0.7623018096373196
DH_EVAL_0096.flac,silero,0.9232783597058176,0.11290542994022146,7.229898835297844,4.060644158724303,0.9203128416712989
DH_EVAL_0097.flac,silero,0.8274689806608646,0.3126430720184087,27.72930474489731,3.535002456943558,0.847068765217319
DH_EVAL_0098.flac,silero,0.9092089195646401,0.11229089715176915,9.189198062874503,2.039891652302413,0.9114271938878662
DH_EVAL_0099.flac,silero,0.9119230737457763,0.10340239240111071,0.3935610388149605,9.94667820129611,0.7114434892047358
DH_EVAL_0100.flac,silero,0.8080071915989046,0.22099765580611364,15.831022377080355,6.268743203531005,0.7144543172395699
DH_EVAL_0101.flac,silero,0.910889226676801,0.145825236077123,5.660565092611888,8.921958515100414,0.904025321563015
DH_EVAL_0102.flac,silero,0.8959092495637002,0.17011009069647984,6.568935029376479,10.442074040271505,0.8830777505776325
