model,type,detection_accuracy_mean,detection_accuracy_std,detection_error_rate_mean,detection_error_rate_std,missed_detection_rate_mean,missed_detection_rate_std,false_alarm_rate_mean,false_alarm_rate_std,roc_auc_mean,roc_auc_std
pyannote,enhanced,0.8210048293234171,0.1699996628038384,0.24460083890627926,0.2365863020001572,19.643441248309518,22.07236825322024,4.816642642318411,9.975014846060153,0.8353943279237546,0.10534475154808065
pyannote,original,0.9274335365983015,0.05438637014915629,0.1048742579569401,0.12677490523620913,3.7072129530501576,3.5374484430872046,6.780212842643856,11.706428329999149,0.8757612088921637,0.08559313072946774
silero,enhanced,0.7636572963816586,0.2026849735835588,0.32435758935311537,0.27934661067906086,26.188732225977063,29.359100918644945,6.247026709334473,10.188715454536078,0.757591986708148,0.09879910910431415
silero,original,0.871212594642647,0.10691909858663594,0.18177982010816882,0.17363920775982924,10.759597676975904,15.48762456637091,7.418384333840981,10.549848991924863,0.8146942497018528,0.07606409067234204
